wc,date,home,away,score,p_home,p_draw,p_away,outcome,rps_model,rps_uniform,rps_freq,logloss_model,brier_model,exact_hit_top1,exact_hit_top5,p_exact
2014,2014-06-12,Brazil,Croatia,3-1,0.8100116440176643,0.1332541245230379,0.05673423145929793,H,0.01965717421407394,0.27777777777777785,0.2308598551591446,0.21070665608852687,0.05707101013054918,0,0,0.07295033542103373
2014,2014-06-13,Spain,Netherlands,1-5,0.49459318773325633,0.2819534776793249,0.22345333458741912,A,0.42382357245777175,0.2777777777777778,0.2981955625078011,1.49855268052128,0.9271449084910086,0,0,0.0006273736524932561
2014,2014-06-13,Chile,Australia,3-1,0.5322616324756793,0.271244494572433,0.19649387295188775,H,0.12869451128097456,0.27777777777777785,0.2308598551591446,0.6306201201619243,0.33096259839780384,0,0,0.04686325930859135
2014,2014-06-13,Mexico,Cameroon,1-0,0.517283722446144,0.27574223122939784,0.20697404632445826,H,0.13792663023368518,0.27777777777777785,0.2308598551591446,0.6591637688390106,0.35188703855073705,1,1,0.13658043211763762
2014,2014-06-14,Colombia,Greece,3-0,0.4702267799194624,0.28777953540573176,0.241993684674806,H,0.16961030406849556,0.27777777777777785,0.2308598551591446,0.754540190181835,0.42203766913533003,0,0,0.044246955282058284
2014,2014-06-14,England,Italy,1-2,0.3785223264456834,0.3009677721497632,0.3205099014045534,A,0.30249297285355115,0.2777777777777778,0.2981955625078011,1.137842109480659,0.6955675455798941,0,0,0.07114156631850238
2014,2014-06-14,Ivory Coast,Japan,2-1,0.3684613757568113,0.30147790682535824,0.3300607174178305,H,0.25389055554667617,0.27777777777777785,0.2308598551591446,0.9984193876174018,0.5986700393971518,0,1,0.07765331859334303
2014,2014-06-14,Uruguay,Costa Rica,1-3,0.5513277860873257,0.265078229648861,0.18359398426381324,A,0.4852405551210934,0.2777777777777778,0.2981955625078011,1.6950285667801863,1.040747578075961,0,0,0.012609675444720199
2014,2014-06-15,Switzerland,Ecuador,2-1,0.34217192879622504,0.3018240600517697,0.3560040111520053,H,0.27973831360999796,0.27777777777777785,0.2308598551591446,1.0724419524603397,0.6505743904461303,0,0,0.07420903372291884
2014,2014-06-15,France,Honduras,3-0,0.5385374416666953,0.2692685952222775,0.19219396311102743,H,0.12494310609992079,0.27777777777777785,0.2308598551591446,0.6188982552452957,0.32239178857282036,0,0,0.05784854688224789
2014,2014-06-15,Argentina,Bosnia and Herzegovina,2-1,0.6095586948570939,0.2433524261235286,0.14708887901937745,H,0.08703977554643649,0.27777777777777785,0.2308598551591446,0.4950200346857204,0.2332999543930804,0,1,0.09347750202036835
2014,2014-06-16,Germany,Portugal,4-0,0.48866915510084274,0.283451991704933,0.22787885319422427,H,0.1566940023392004,0.27777777777777785,0.2308598551591446,0.7160695929229401,0.39373303627989426,0,0,0.017021109622770533
2014,2014-06-16,Ghana,United States,1-2,0.22924456944687713,0.28390048894783354,0.4868549416052892,A,0.15793546178789758,0.2777777777777778,0.2981955625078011,0.7197890614491037,0.3964704112006142,0,1,0.08919604947622532
2014,2014-06-16,Iran,Nigeria,0-0,0.34583258798148725,0.30186437172238845,0.35230304029612425,D,0.12185880555593284,0.11111111111111112,0.14879446182796943,1.197777462739983,0.7311109665824411,0,1,0.11233079972256892
2014,2014-06-17,Russia,South Korea,1-1,0.48824102087976473,0.28355827443258813,0.22820070468764722,D,0.1452274280448268,0.11111111111111112,0.14879446182796943,1.2603376233834647,0.8037436022236643,0,1,0.13217779910845384
2014,2014-06-17,Belgium,Algeria,2-1,0.5377065891491781,0.2695332411477359,0.1927601697030859,H,0.12543584037002464,0.27777777777777785,0.2308598551591446,0.6204422409191442,0.3235198488236528,0,1,0.0920028215808167
2014,2014-06-17,Brazil,Mexico,0-0,0.7507172136658512,0.16629376736843868,0.08298901896571001,D,0.28523175608155515,0.11111111111111112,0.14879446182796943,1.7939993717270812,1.2655295944918215,0,0,0.050000501229914764
2014,2014-06-18,Australia,Netherlands,2-3,0.09882094547274049,0.20220048512864872,0.6989785693986106,A,0.050189740472716654,0.2777777777777778,0.2981955625078011,0.3581351961616543,0.14126451713169436,0,0,0.019182529634663777
2014,2014-06-18,Spain,Chile,0-2,0.43840230920142964,0.29399312242212017,0.2676045683764502,A,0.3642998264880959,0.2777777777777778,0.2981955625078011,1.3182448792129076,0.8150316090076994,0,0,0.047803974478292155
2014,2014-06-18,Cameroon,Croatia,0-4,0.2420937947625731,0.28780784532125536,0.47009835991617166,A,0.16970257681303705,0.2777777777777778,0.2981955625078011,0.754813329755901,0.42223850945453767,0,0,0.015302835463342176
2014,2014-06-19,Colombia,Ivory Coast,2-1,0.46279058183540533,0.2893764446209768,0.24783297354361788,H,0.17500757087010696,0.27777777777777785,0.2308598551591446,0.7704806342685526,0.43375386844169117,0,1,0.08739849842591073
2014,2014-06-19,Japan,Greece,0-0,0.35265875991118084,0.3018617621531724,0.34547947793564665,D,0.12186213530838944,0.11111111111111112,0.14879446182796943,1.1977861076174188,0.7311212697606524,0,1,0.11232982864077048
2014,2014-06-19,Uruguay,England,2-1,0.3284027334019678,0.30140458725962815,0.3701926793384041,H,0.2940427541688474,0.27777777777777785,0.2308598551591446,1.1135145780463966,0.6789302335588416,0,0,0.07228304527697567
2014,2014-06-20,Italy,Costa Rica,0-1,0.4651239799854805,0.2888846743358201,0.2459913456786994,A,0.3924346837744761,0.2777777777777778,0.2981955625078011,1.4024589238364995,0.8683237226150651,0,0,0.08587341266259285
2014,2014-06-20,Switzerland,France,2-5,0.2990861650011572,0.29902324982707373,0.401890585171769,A,0.2235937031006341,0.2777777777777778,0.2981955625078011,0.9115754035994067,0.5366023101384129,0,0,0.0013182744953202155
2014,2014-06-20,Honduras,Ecuador,1-2,0.23081084060327978,0.284406850398154,0.4847823089985663,A,0.15936145663042076,0.2777777777777778,0.2981955625078011,0.7240553362324484,0.39961016981423936,0,1,0.0890527858291496
2014,2014-06-21,Argentina,Iran,1-0,0.6334056391558888,0.23326493576118626,0.13332942508292478,H,0.07608408049782288,0.27777777777777785,0.2308598551591446,0.4566442419240355,0.20658069125131606,1,1,0.14110919538538622
2014,2014-06-21,Germany,Ghana,2-2,0.7351386465331545,0.1830800482001318,0.08178130526671362,D,0.27355850575886287,0.11111111111111112,0.14879446182796943,1.6978317999231243,1.2144752191664245,0,0,0.025682474485828406
2014,2014-06-21,Nigeria,Bosnia and Herzegovina,1-0,0.35450887218968674,0.30184384445210904,0.34364728335820427,H,0.26737612572065206,0.27777777777777785,0.2308598551591446,1.0370219059897434,0.625861957874933,0,1,0.11204724202553802
2014,2014-06-22,Belgium,Russia,1-0,0.3792385573232735,0.30092378325982433,0.31983765941690223,H,0.24382044854768653,0.27777777777777785,0.2308598551591446,0.9695898330655676,0.5781960204267789,0,1,0.1169691890484711
2014,2014-06-22,South Korea,Algeria,2-4,0.4222861455746062,0.29650118524479463,0.28121266918059923,A,0.34749040784536817,0.2777777777777778,0.2981955625078011,1.2686440660754663,0.7828937685423043,0,0,0.0034214257375403843
2014,2014-06-22,United States,Portugal,2-2,0.35986931036513203,0.3017511048871783,0.3383795847476898,D,0.12200333195834728,0.11111111111111112,0.14879446182796943,1.19815275741326,0.7315581834429709,0,0,0.04232965376906595
2014,2014-06-23,Australia,Spain,0-3,0.1365704170794948,0.2357461575586876,0.6276834253618178,A,0.07863555528578821,0.2777777777777778,0.2981955625078011,0.46571933935725807,0.21284736137526183,0,0,0.07873466048462924
2014,2014-06-23,Brazil,Cameroon,4-1,0.9096946869747575,0.06932498854935785,0.020980324475884646,H,0.004297611787850215,0.27777777777777785,0.2308598551591446,0.09464624458586504,0.01340117761306903,0,0,0.055415157938399615
2014,2014-06-23,Croatia,Mexico,1-3,0.2875645664342827,0.2974952308216227,0.4149402027440946,A,0.21249417311682905,0.2777777777777778,0.2981955625078011,0.8796208589066334,0.5134917585952687,0,0,0.03493374471730628
2014,2014-06-23,Netherlands,Chile,2-0,0.4083666387564794,0.29830346793328655,0.2933298933102342,H,0.21803623022284974,0.27777777777777785,0.2308598551591446,0.895589883696024,0.5250574194267249,0,0,0.08090204184566331
2014,2014-06-24,Italy,Uruguay,0-1,0.33497770109804664,0.30165832408867893,0.36336397481327454,A,0.2587577443992427,0.2777777777777778,0.2981955625078011,1.0123502616345366,0.6085132332904757,0,1,0.11385578840601689
2014,2014-06-24,Japan,Colombia,1-4,0.1704187748291018,0.25800775962243816,0.57157346554846,A,0.10629592711820435,0.2777777777777778,0.2981955625078011,0.5593622553677154,0.2791598582617985,0,0,0.02070013677631833
2014,2014-06-24,Costa Rica,England,0-0,0.348953343096015,0.3018756509377032,0.3491710059662819,D,0.12184441353269518,0.11111111111111112,0.14879446182796943,1.197740098262252,0.7310664338190461,0,1,0.11233499698264739
