date,home,away,mkt_home,mkt_draw,mkt_away,source
2026-06-21,Tunisia,Japan,0.17587548638132297,0.26381322957198444,0.5603112840466926,the-odds-api (live consensus)
2026-06-21,Spain,Saudi Arabia,0.8636080548058958,0.0969898276935852,0.03940211750051899,the-odds-api (live consensus)
2026-06-21,Belgium,Iran,0.6768833087149188,0.2016248153618907,0.12149187592319056,the-odds-api (live consensus)
2026-06-21,Uruguay,Cape Verde,0.6585407041964706,0.21191030481405984,0.12954899098946962,the-odds-api (live consensus)
2026-06-22,New Zealand,Egypt,0.19634517610791158,0.25604472289747926,0.5476101009946089,the-odds-api (live consensus)
2026-06-22,Argentina,Austria,0.5840838623948029,0.24450022146759193,0.17141591613760523,the-odds-api (live consensus)
2026-06-22,France,Iraq,0.8505017960596752,0.11156582383606328,0.03793238010426152,the-odds-api (live consensus)
2026-06-23,Norway,Senegal,0.44687700295295923,0.2729118599799548,0.2802111370670859,the-odds-api (live consensus)
2026-06-23,Jordan,Algeria,0.14563341665994678,0.22538504959277475,0.6289815337472784,the-odds-api (live consensus)
2026-06-23,Portugal,Uzbekistan,0.7639586750382664,0.15217563930197728,0.08386568565975637,the-odds-api (live consensus)
2026-06-23,England,Ghana,0.7190155579712686,0.18183598087690386,0.09914846115182757,the-odds-api (live consensus)
2026-06-23,Panama,Croatia,0.14567704369465687,0.24341922468258856,0.6109037316227545,the-odds-api (live consensus)
2026-06-24,Colombia,DR Congo,0.6488517745302714,0.22400835073068892,0.12713987473903965,the-odds-api (live consensus)
2026-06-24,Bosnia and Herzegovina,Qatar,0.5816197557310795,0.25308319100730753,0.16529705326161306,the-odds-api (live consensus)
2026-06-24,Switzerland,Canada,0.4471544715447154,0.2845528455284553,0.26829268292682923,the-odds-api (live consensus)
2026-06-24,Scotland,Brazil,0.14277215942891136,0.2078128098354154,0.6494150307356731,the-odds-api (live consensus)
2026-06-24,Morocco,Haiti,0.7069056302045752,0.19090040368976344,0.10219396610566142,the-odds-api (live consensus)
2026-06-25,Czech Republic,Mexico,0.20852730739619021,0.27159851903990045,0.5198741735639092,the-odds-api (live consensus)
2026-06-25,South Africa,South Korea,0.16784894680485798,0.24363068346060887,0.5885203697345333,the-odds-api (live consensus)
2026-06-25,Curaçao,Ivory Coast,0.07305481929823682,0.1539585034797553,0.7729866772220079,the-odds-api (live consensus)
2026-06-25,Ecuador,Germany,0.20157395814702198,0.25505276336970134,0.5433732784832767,the-odds-api (live consensus)
2026-06-25,Japan,Sweden,0.45092188785249787,0.2809798550432232,0.26809825710427887,the-odds-api (live consensus)
2026-06-25,Tunisia,Netherlands,0.14782933247662558,0.22315189711947767,0.6290187704038969,the-odds-api (live consensus)
2026-06-26,Paraguay,Australia,0.4357667471779958,0.29462217183417955,0.2696110809878247,the-odds-api (live consensus)
2026-06-26,Turkey,United States,0.35404899541185625,0.27278336342404713,0.3731676411640965,the-odds-api (live consensus)
2026-06-26,Norway,France,0.22000992963654106,0.263392169283183,0.516597901080276,the-odds-api (live consensus)
2026-06-26,Senegal,Iraq,0.670552843005002,0.20978189501832464,0.11966526197667339,the-odds-api (live consensus)
2026-06-27,Cape Verde,Saudi Arabia,0.4086284423630825,0.2722186535154064,0.319152904121511,the-odds-api (live consensus)
2026-06-27,Uruguay,Spain,0.17805685644382346,0.24312054520938184,0.5788225983467946,the-odds-api (live consensus)
2026-06-27,New Zealand,Belgium,0.09443887986398106,0.17041925139091127,0.7351418687451076,the-odds-api (live consensus)
2026-06-27,Egypt,Iran,0.42186752947614997,0.3130440796615317,0.26508839086231833,the-odds-api (live consensus)
2026-06-27,Croatia,Ghana,0.5759802874275378,0.2522824709082881,0.1717372416641741,the-odds-api (live consensus)
2026-06-27,Panama,England,0.0985754470094691,0.16366106966375615,0.7377634833267747,the-odds-api (live consensus)
2026-06-27,Colombia,Portugal,0.268486606114778,0.28742891268115806,0.4440844812040641,the-odds-api (live consensus)
2026-06-27,DR Congo,Uzbekistan,0.40514358372013165,0.2898383336100475,0.30501808266982083,the-odds-api (live consensus)
2026-06-28,Algeria,Austria,0.26229817324690635,0.30012964054213315,0.43757218621096056,the-odds-api (live consensus)
2026-06-28,Jordan,Argentina,0.0667157352399979,0.1383733767940697,0.7949108879659323,the-odds-api (live consensus)
