,rps_model,rps_uniform,rps_freq,logloss_model,brier_model,exact_hit_top1,exact_hit_top5,n
2014,0.18757305480154118,0.24392361111111113,0.2373369715398503,0.9183510723514748,0.5443762622861495,0.140625,0.53125,64
2018,0.2085864963409018,0.24392361111111113,0.24164045979911572,0.9852959001809235,0.5861430133654467,0.140625,0.53125,64
2022,0.22432005536846714,0.23871527777777782,0.23360914604099525,1.0680988698183633,0.6218871661298988,0.0625,0.484375,64
all,0.2068265355036367,0.2421875,0.23752885912665378,0.990581947450254,0.5841354805938317,0.11458333333333333,0.515625,192
