bin,n,pred_mean,obs_freq
0.0-0.1,16,0.07181934787117228,0.1875
0.1-0.2,69,0.15643676550767352,0.14492753623188406
0.2-0.3,223,0.2611619041794487,0.2062780269058296
0.3-0.4,113,0.33312084768456734,0.336283185840708
0.4-0.5,68,0.453607488418295,0.5441176470588235
0.5-0.6,45,0.5500565244597304,0.6666666666666666
0.6-0.7,30,0.6404085616592102,0.7
0.7-0.8,8,0.7421666962393582,0.625
0.8-0.9,3,0.8392866590746441,0.3333333333333333
0.9-1.0,1,0.9096899836115606,1.0
